,matlab,python,delta
1007_s_at,-63.139603,72.90968161736629,-9.770078617366288
1053_at,-169.48939,174.5118412590875,-5.022451259087518
117_at,-171.472935,171.09973811074738,0.3731968892526254
121_at,-87.033846,87.2796035491114,-0.2457575491114028
1255_g_at,-188.44313300000002,187.9275681486745,0.5155648513255073
1294_at,-121.53065500000001,122.29234636535514,-0.7616913653551336
1316_at,-75.76147900000001,85.88645246666724,-10.124973466667228
1320_at,-167.730539,174.45443329057682,-6.723894290576823
1405_i_at,-185.465489,187.01075338973234,-1.5452643897323526
1431_at,-193.933056,191.09446489628132,2.83859110371867
1438_at,-182.48211899999998,183.46008054931286,-0.9779615493128802
1487_at,-126.88128400000001,127.15262638696328,-0.2713423869632692
1494_f_at,-131.955366,133.6682430684292,-1.7128770684292078
1552256_a_at,-120.564907,119.76043833244695,0.8044686675530528
1552257_a_at,-113.506776,123.35190389153585,-9.845127891535853
1552258_at,-166.382605,166.7872678866212,-0.4046628866211961
1552261_at,-197.051737,200.581127345966,-3.529390345965993
1552263_at,-135.15731499999998,144.68360545453422,-9.526290454534234
1552264_a_at,-174.06125500000002,174.29625849522407,-0.23500349522404917
1552266_at,-185.059235,184.3735134629972,0.6857215370027916
1552269_at,-154.888285,163.73787136654104,-8.849586366541047
1552271_at,-137.74741,141.60307036373285,-3.855660363732852
1552272_a_at,-163.959168,164.18323620552013,-0.22406820552012618
1552274_at,-168.16306,171.5018099212219,-3.338749921221904
1552275_s_at,-187.88897,192.43819027436797,-4.549220274367968
1552276_a_at,-184.897973,190.56056836554086,-5.662595365540852
1552277_a_at,-112.424297,116.94037600981329,-4.516079009813296
1552278_a_at,-187.74418,188.0341442240353,-0.28996422403528754
1552279_a_at,-141.86391799999998,141.0250116001248,0.8389063998751851
1552280_at,-157.48013899999998,157.4496163901284,0.030522609871582063
1552281_at,-166.61462,166.56308118355545,0.051538816444548274
1552283_s_at,-155.131057,164.76206583919605,-9.631008839196056
1552286_at,-171.219102,172.43817863872175,-1.2190766387217593
1552287_s_at,-104.37549200000001,111.14016510238851,-6.7646731023885
1552288_at,-191.437401,195.52931914909917,-4.091918149099172
1552289_a_at,-151.151838,151.07834227465344,0.0734957253465609
1552291_at,-168.870115,170.78075208678908,-1.9106370867890803
1552293_at,-146.293,156.53353589037292,-10.240535890372911
1552295_a_at,-94.69855799999999,94.51203224332112,0.1865257566788756
1552296_at,-152.700626,149.14937468879782,3.5512513112021793
1552299_at,-179.614256,189.13219049048345,-9.51793449048344
1552301_a_at,-110.47083799999999,115.62979451406073,-5.158956514060748
1552302_at,-141.08156200000002,146.74714047480512,-5.665578474805102
1552303_a_at,-159.233823,159.65125036618352,-0.4174273661835173
1552304_at,-190.32830900000002,194.57452546847364,-4.246216468473619
1552306_at,-187.598866,186.94177449822692,0.657091501773067
1552307_a_at,-172.75302299999998,171.9737465171763,0.7792764828236898
