cell_id	cluster	umap_x	umap_y
1	6	14.9147	14.661
2	6	14.0133	14.0752
3	4	4.21698	7.57829
4	8	-0.71032	-0.25396
5	5	-0.523526	11.704
6	4	3.99949	6.3062
7	1	-0.0118572	6.45239
8	8	-0.863246	-1.7667
9	3	-1.04345	5.23954
10	6	14.7739	13.7812
11	6	15.4666	14.5975
12	5	-0.870435	11.3251
13	7	2.89842	12.6064
14	6	13.872	14.3195
15	8	-1.03924	-0.571932
16	5	-0.437183	11.9828
17	7	3.76193	13.1868
18	4	5.94708	7.81509
19	6	15.3256	14.0468
20	8	-1.0187	0.708658
21	6	13.2562	13.9785
22	6	15.4695	14.5288
23	4	5.79914	7.23918
24	6	15.1809	14.5969
25	3	-1.31967	5.21362
26	8	-0.979671	-0.809255
27	0	-6.10181	8.57297
28	8	-1.0145	-1.49373
29	1	1.98533	9.54055
30	1	1.79975	7.54658
31	0	-5.76174	8.95939
32	5	2.126	12.4834
33	0	-2.55444	6.17761
34	1	0.484322	5.83211
35	0	-5.29079	8.03944
36	6	14.5925	12.8581
37	4	4.75663	7.0599
38	4	6.12396	8.2284
39	1	1.66858	6.8589
40	3	-0.498779	2.37446
41	8	-0.92802	-1.77422
42	0	-4.23976	9.24134
43	6	15.1023	14.603
44	3	-1.74743	3.47789
45	2	-0.438948	9.11496
46	6	12.8337	13.7282
47	4	4.92822	5.25997
48	8	-0.723757	1.33873
49	8	-1.01812	-1.25391
50	8	-1.18582	0.499663
51	1	1.71205	9.00413
52	1	0.550757	7.18615
53	1	2.27451	9.21028
54	8	-0.901771	0.413213
55	3	-2.04877	4.61488
56	6	13.7013	14.4357
57	8	-1.27005	0.586631
58	0	-2.46821	5.80801
59	2	-0.25636	7.36365
60	9	-5.30036	5.3707
61	6	15.1159	14.557
62	6	14.0331	14.351
63	10	-3.87958	6.90475
64	2	-1.34308	10.1743
65	1	1.98981	7.98799
66	9	-4.01697	5.50755
67	1	1.07258	7.64749
68	4	3.88952	6.19748
69	4	4.8261	9.78419
70	1	1.8345	8.99633
71	3	-0.0442136	5.78081
72	1	0.0150785	7.0155
73	8	-0.790478	1.01836
74	0	-7.91022	8.95618
75	3	-0.0889667	3.05094
76	3	-0.511122	2.71339
77	6	14.137	14.3838
78	8	-1.016	0.581598
79	3	-0.93081	6.09618
80	4	5.33957	9.43255
81	1	-0.246275	6.66937
82	0	-4.54773	7.73612
83	6	13.9595	14.1127
84	6	15.2847	14.4249
85	3	-1.08739	5.11497
86	6	14.4891	14.2624
87	2	-0.872433	6.77963
88	6	13.909	13.2243
89	8	-0.74956	-1.59179
90	2	-1.63631	6.09988
91	6	14.2367	14.1439
92	6	13.871	14.0764
93	4	4.43795	7.18952
94	3	-1.28283	3.74766
95	6	14.1322	14.3525
96	6	14.7771	13.7851
97	0	-2.93998	9.97623
98	8	-0.66026	-1.46777
99	0	-7.48719	8.66922
100	6	15.1872	14.766
101	1	2.27941	9.10847
102	3	-0.152618	2.84681
103	0	-7.69438	8.79483
104	2	-0.0592044	8.34376
105	3	-1.575	4.02161
106	8	-0.831129	-1.0648
107	3	-0.916293	4.31435
108	2	0.0610263	8.08801
109	0	-5.7075	10.072
110	1	1.35901	8.05259
111	3	-0.379036	2.78471
112	2	-0.614433	6.32992
113	8	-0.648355	-1.05047
114	6	14.3154	13.3335
115	3	-1.29101	5.22325
116	8	-1.03409	-1.25164
117	6	14.3837	14.5444
118	6	15.0009	14.3792
119	3	-0.899489	5.06613
120	3	-0.32765	3.46103
121	0	-3.9204	8.36612
122	3	-1.08212	5.13768
123	6	14.4192	14.174
124	1	0.929406	8.22454
125	6	14.8182	14.6184
126	3	0.286442	2.73701
127	5	1.78382	14.1662
128	4	6.10507	5.74022
129	3	-0.914308	6.1724
130	6	14.472	13.7444
131	8	-1.16171	-0.563004
132	5	-1.1816	11.6699
133	3	-3.45574	4.51042
134	0	-7.18953	10.2286
135	6	14.3776	14.2382
136	5	-0.997678	11.7877
137	8	-0.826583	-1.73921
138	3	-0.960173	4.26935
139	4	5.57275	7.37211
140	0	-5.41248	8.25132
141	4	4.62174	6.13378
142	6	13.5526	13.8929
143	6	14.6291	14.3846
144	1	2.60432	7.99243
145	0	-5.24989	7.53303
146	4	4.23587	9.39848
147	8	-1.10115	0.552863
148	8	-1.0758	0.28239
149	6	13.2261	14.2514
150	5	-0.762566	11.688
151	6	14.4944	14.2638
152	8	-0.791252	-0.58201
153	2	-2.48282	10.4294
154	8	-1.19135	-1.71209
155	3	-2.26847	4.84669
156	2	-0.483939	7.8226
157	1	-0.233898	8.03157
158	0	-4.29836	7.28119
159	2	-0.417792	8.68508
160	6	15.4494	14.6211
161	1	-0.38957	6.64206
162	6	14.5306	13.6961
163	2	0.00607845	7.01673
164	6	15.2902	14.6877
165	8	-0.888827	-1.91623
166	1	-0.117875	7.09369
167	6	14.8737	13.5744
168	6	14.8456	14.7369
169	0	-2.36795	11.1168
170	1	1.84845	8.3793
171	0	-4.18804	6.22555
172	4	2.544	7.65687
173	10	-3.72367	6.77177
174	1	2.99012	9.12499
175	6	14.3789	14.205
176	3	-0.792327	3.50691
177	3	-0.720352	4.07659
178	3	-0.744864	5.14238
179	1	0.647875	7.03711
180	8	-1.11041	-0.869972
181	1	0.896669	7.13162
182	3	-0.670072	3.71934
183	8	-1.18595	-0.270732
184	0	-5.89795	9.85831
185	10	-3.57557	6.71689
186	6	14.8186	14.459
187	8	-1.17362	-0.230108
188	4	3.71642	7.0123
189	4	3.70559	7.57375
190	2	-0.914876	6.82654
191	6	14.51	13.5839
192	0	-4.91454	10.1846
193	4	5.36002	5.16588
194	6	15.1767	14.7092
195	6	15.2536	14.7398
196	1	1.49953	8.6122
197	1	1.55733	8.58327
198	5	1.67005	11.8251
199	0	-5.23622	9.69823
200	5	0.0794748	12.6082
201	3	-1.05821	5.38097
202	6	14.0176	14.3946
203	3	-0.175306	4.74492
204	6	13.7694	13.6633
205	0	-7.15445	9.3509
206	2	-2.14838	10.3615
207	0	-4.18261	5.63017
208	3	-0.597917	3.40437
209	4	5.31058	7.6178
210	3	0.0837581	2.69363
211	1	1.8173	8.12609
212	6	13.8336	13.9657
213	0	-6.00618	9.2807
214	3	-0.302337	2.55004
215	6	15.3625	14.3215
216	0	-3.21056	9.91568
217	8	-0.98398	-0.715495
218	6	14.9041	13.5246
219	8	-1.03315	-1.67265
220	8	-1.12725	-1.59006
221	0	-2.68828	5.99912
222	4	4.29739	5.70285
223	3	-1.46918	4.19099
224	3	-0.373239	2.72912
225	3	-0.611956	4.21002
226	0	-5.08498	7.51927
227	6	15.5804	13.7932
228	4	3.71064	6.5886
229	5	-0.855829	12.2708
230	8	-0.839038	-1.44305
231	8	-0.852328	-0.916149
232	2	-0.936023	7.44473
233	4	5.18757	7.08285
234	0	-4.47971	9.9765
235	8	-0.923416	0.00838793
236	0	-5.22558	9.4314
237	6	15.1805	13.8456
238	0	-7.50999	8.80431
239	3	0.25413	4.63427
240	5	-0.717041	10.8113
241	6	15.1249	13.5666
242	0	-3.86412	10.1474
243	1	1.69281	6.12237
244	1	0.177773	8.48724
245	6	13.9605	14.3534
246	8	-1.08424	-0.344481
247	6	15.3948	14.3111
248	6	15.3138	13.9919
249	8	-1.16574	-1.52389
250	6	14.8477	14.697
251	2	-0.151088	8.74981
252	9	-3.96558	5.13043
253	1	2.23723	6.15746
254	1	2.29213	6.88248
255	6	14.5385	14.4085
256	0	-7.82958	9.24079
257	3	-0.623025	3.72467
258	8	-0.63339	-1.52213
259	6	14.4443	14.307
260	6	14.2332	13.6239
261	3	-0.168246	6.18382
262	2	-1.60299	10.8843
263	6	14.5532	14.0844
264	5	-0.413272	12.534
265	0	-3.35972	6.4123
266	3	-1.08406	5.22758
267	6	14.0498	14.1653
268	0	-8.19288	9.44066
269	6	14.9047	14.3956
270	3	-2.84534	4.42757
271	8	-1.09995	-0.671912
272	6	15.5131	14.5473
273	1	0.859404	5.78244
274	8	-0.851044	-1.38051
275	9	-3.74647	5.13297
276	3	-0.645833	3.34924
