cpd:C00001	H2O; Water
cpd:C00002	ATP; Adenosine 5'-triphosphate
cpd:C00003	NAD; DPN; NAD+; Nadide; beta-NAD+; Diphosphopyridine nucleotide; Nicotinamide adenine dinucleotide
cpd:C00004	NADH; DPNH; Reduced nicotinamide adenine dinucleotide
cpd:C00005	TPNH; NADPH; Reduced nicotinamide adenine dinucleotide phosphate
cpd:C00006	TPN; NADP; NADP+; beta-NADP+; Triphosphopyridine nucleotide; Nicotinamide adenine dinucleotide phosphate; beta-Nicotinamide adenine dinucleotide phosphate
cpd:C00007	O2; Oxygen
cpd:C00008	ADP; Adenosine 5'-diphosphate
cpd:C00009	Phosphate; Orthophosphate; Phosphoric acid; Orthophosphoric acid
cpd:C00010	CoA; CoA-SH; Coenzyme A
cpd:C00011	CO2; Carbon dioxide
cpd:C00012	Peptide
cpd:C00013	PPi; Diphosphate; Pyrophosphate; Diphosphoric acid; Pyrophosphoric acid
cpd:C00014	NH3; Ammonia
cpd:C00015	UDP; Uridine 5'-diphosphate
cpd:C00016	FAD; Flavin adenine dinucleotide
cpd:C00017	Protein
cpd:C00018	PLP; Pyridoxal phosphate; Pyridoxal 5-phosphate; Pyridoxal 5'-phosphate
cpd:C00019	SAM; AdoMet; S-Adenosylmethionine; S-Adenosyl-L-methionine
cpd:C00020	AMP; 5'-AMP; Adenylate; Adenylic acid; 5'-Adenylic acid; Adenosine 5'-phosphate; Adenosine 5'-monophosphate; 5'-Adenosine monophosphate
cpd:C00021	S-Adenosylhomocysteine; S-Adenosyl-L-homocysteine
cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; Pyroracemic acid; 2-Oxopropanoic acid
cpd:C00024	Acetyl-CoA; Acetyl coenzyme A
cpd:C00025	Glutamate; L-Glutamate; L-Glutamic acid; L-Glutaminic acid
cpd:C00026	2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid
cpd:C00027	H2O2; Oxydol; Hydrogen peroxide
cpd:C00029	UDPglucose; UDP-glucose; UDP-D-glucose; UDP-alpha-D-glucose; Uridine diphosphate glucose
cpd:C00031	Glucose; Dextrose; D-Glucose; Grape sugar; D-Glucopyranose
cpd:C00032	Heme; Haem; Heme B; Protoheme; Protoheme IX
cpd:C00033	Acetate; Acetic acid; Ethanoic acid
cpd:C00034	Manganese
cpd:C00035	GDP; Guanosine diphosphate; Guanosine 5'-diphosphate
