interaction.id,input,output
727594,727455,727532
729748,729652,729660
721243,721037,721023
709434,709381,709374
709434,709374,709359
701541,701374,701466
701541,701466,701463
710096,710080,710079
710096,709980,710080
723788,723695,723694
701629,701460,701458
701629,701384,701460
700599,700541,700569
700599,700494,700541
711673,711590,711591
711673,711524,711590
702334,702204,702142
702334,702142,702146
724873,724823,724789
734292,734261,734267
721630,721438,721507
709472,709385,709392
709472,709383,709385
708872,708808,708822
708872,708822,708821
736014,735907,735951
701340,701304,701333
701340,701333,701334
703073,702932,702899
703073,702856,702932
709460,709374,709359
709460,709398,709374
720522,720487,720437
706088,706081,706043
706088,706043,706044
706088,706043,706031
702320,702209,702231
702320,702231,702118
738113,737958,737895
717011,716833,715990
717011,715826,716833
733611,733554,733564
738106,737866,737886
700439,700412,700431
700439,700353,700412
731710,731294,731312
710145,710134,710119
710145,710119,710117
702322,702210,702231
702322,702231,702123
704406,704326,704348
704406,704348,704349
736945,736775,736900
722446,722179,722209
707887,707830,707828
707887,707774,707830
729766,729616,729615
712138,712004,711991
712138,711950,712004
729774,729704,729709
707739,707704,707697
707739,707657,707704
711270,711225,711224
711270,711252,711225
708989,708903,708901
708989,708973,708903
708842,708747,708813
708842,708813,708775
737490,737377,737334
717109,716623,716576
717109,715901,716623
720492,720467,720487
739815,739794,739781
717379,716069,716073
717379,716073,716074
727387,727247,727247
725984,725927,725926
706845,706707,706665
706845,706706,706665
706845,706698,706707
706845,706698,706706
718524,718325,718326
718547,718447,718435
708552,708504,708385
708552,708436,708504
707882,707830,707754
707882,707762,707830
728689,728596,728682
718599,718326,718418
735884,735850,735800
725253,725216,725181
740801,740728,740762
728836,728769,728724
721639,721438,721592
734021,733968,733891
709148,708930,708911
709148,708973,708930
729468,729368,729456
703058,702923,702925
703058,702800,702923
731796,731763,731746
707747,707693,707695
707747,707695,707713
707357,707312,707311
707357,707322,707312
701913,701815,701857
701913,701857,701858
726597,726399,726451
723348,723312,723311
739942,739850,739849
723791,723608,723613
729741,729698,729683
726914,726664,726904
726914,726727,726664
726914,726727,726649
726914,726649,726904
734010,733986,733991
703888,703790,703791
703888,703757,703790
706825,706707,706665
706825,706706,706665
706825,706698,706707
706825,706698,706706
702276,702165,702112
702276,702112,702113
701144,701104,701108
701144,701059,701104
701144,701059,701086
701144,701086,701108
723120,723042,723043
717102,716038,716764
717102,715833,716038
709163,708939,708929
709163,708929,708928
723084,722996,723070
717545,713024,716330
717545,715012,713024
709039,708931,708930
709039,708949,708931
717648,712511,716822
717648,714514,712511
721314,720927,721166
736018,735945,735913
701284,701077,701092
701284,701077,701082
701284,701092,701087
701284,701082,701087
703069,702913,702915
703069,702913,702914
703069,702853,702913
708280,708205,708197
708280,708185,708205
701523,701457,701458
701523,701383,701457
704092,703979,704011
704092,704011,704012
721653,721458,721477
716955,716930,716916
716955,716909,716930
738027,737750,737691
722472,722080,722057
703153,703122,703145
703153,703145,703120
728513,728439,728415
724273,724010,724043
719488,719474,719469
730600,730546,730547
729747,729678,729654
705015,704981,704988
705015,704856,704981
727373,727249,727250
721176,721140,721123
706490,706396,706359
706490,706359,706358
701140,701086,701109
701140,701074,701086
701140,701074,701105
701140,701105,701109
739667,739576,739600
724890,724781,724766
739534,739508,739503
728334,728231,728230
709076,708902,708898
709076,708879,708902
722448,722177,722207
739650,739608,739593
701571,701384,701476
701571,701476,701475
728582,728492,728413
707473,707435,707420
707473,707420,707419
705398,705240,705347
705398,705347,705360
732510,732385,732358
708255,708105,708193
708255,708193,708189
727587,727515,727508
740797,740763,740758
700596,700559,700558
700596,700485,700559
738014,737627,737677
735762,735721,735682
721202,721096,721076
720270,720060,720121
729750,729676,729672
721285,721163,721150
720299,720165,719883
738049,737767,737768
738123,737845,737745
740548,740500,740535
718756,718636,718635
739203,739126,739186
734195,734043,734085
707408,707310,707309
707408,707298,707310
718763,718698,718637
727800,727671,727671
703357,703165,703299
703357,703166,703165
701684,701666,701680
701684,701680,701675
727605,727448,727531
735549,735508,735509
722486,721996,721997
704666,704433,704438
704666,704480,704433
705038,705010,704950
705038,704882,705010
729150,729012,729070
734779,734523,734500
720572,720462,720375
704687,704551,704442
704687,704442,704447
701136,701068,701086
701136,701068,701105
701136,701086,701109
701136,701105,701109
733608,733554,733571
707364,707324,707311
707364,707311,707310
703062,702944,702887
703062,702717,702944
717630,716770,716771
717630,715018,716770
705036,705003,704944
705036,704944,704942
705036,704944,704943
730287,730160,730164
704409,704274,704386
704409,704386,704376
727154,727041,727094
723100,723042,723054
718554,718338,718337
703890,703768,703791
703890,703791,703794
718914,718824,718827
707731,707709,707694
707731,707624,707709
707731,707624,707695
707731,707695,707694
703395,703263,703304
703395,703304,703303
710840,710775,710708
710840,710708,710768
725809,725797,725733
703102,702893,702892
703102,702877,702893
718875,718787,718793
740779,740756,740755
732518,732353,732411
724867,724835,724854
701126,701046,701051
701126,701070,701046
731865,731828,731831
701267,701089,701088
701267,701069,701089
731079,730870,730910
708849,708826,708821
708849,708767,708826
728559,728484,728412
710858,710743,710708
710858,710708,710769
701215,701045,701103
701215,701103,701104
705417,705267,705325
705417,705325,705318
729942,729895,729867
706464,706366,706428
706464,706347,706366
706464,706347,706465
706464,706465,706428
718731,718659,718658
739649,739609,739608
709101,708902,708898
709101,708975,708902
712355,712236,712233
712355,712236,712232
712355,712284,712236
726207,726043,726066
717660,716864,716869
717660,716869,716866
717370,715457,716599
717370,716599,716600
704394,704274,704386
704394,704386,704376
704056,704021,704022
704056,704021,703913
704056,703956,704021
738020,737630,737677
724723,724615,724666
721233,721046,721166
730259,730101,730107
708583,708514,708505
708583,708494,708514
703027,702896,702900
703027,702777,702896
717216,716322,716323
717216,715026,716322
727807,727676,727795
727354,727238,727237
