hsa:1	A1BG
hsa:10	NAT2
hsa:100	ADA
hsa:1000	CDH2
hsa:10000	AKT3
hsa:100008586	GAGE12F
hsa:100008587	RNA5-8SN5
hsa:100008588	RNA18SN5
hsa:100008589	RNA28SN5
hsa:10001	MED6
hsa:10002	NR2E3
hsa:10003	NAALAD2
hsa:100033411	DUXB
hsa:100033413	SNORD116-1
hsa:100033414	SNORD116-2
hsa:100033415	SNORD116-3
hsa:100033416	SNORD116-4
hsa:100033417	SNORD116-5
hsa:100033418	SNORD116-6
hsa:100033419	SNORD116-7
hsa:100033420	SNORD116-8
hsa:100033421	SNORD116-9
hsa:100033422	SNORD116-10
hsa:100033423	SNORD116-11
hsa:100033424	SNORD116-12
hsa:100033425	SNORD116-13
hsa:100033426	SNORD116-14
hsa:100033427	SNORD116-15
hsa:100033428	SNORD116-16
hsa:100033429	SNORD116-17
hsa:100033430	SNORD116-18
hsa:100033431	SNORD116-20
hsa:100033432	SNORD116-21
hsa:100033433	SNORD116-22
hsa:100033434	SNORD116-23
hsa:100033435	SNORD116-24
hsa:100033436	SNORD116-25
hsa:100033437	SNORD115-2
hsa:100033438	SNORD116-26
hsa:100033439	SNORD116-27
hsa:100033440	SNORD115-3
hsa:100033441	SNORD115-4
hsa:100033442	SNORD115-5
hsa:100033443	SNORD115-6
hsa:100033444	SNORD115-7
hsa:100033445	SNORD115-8
hsa:100033446	SNORD115-9
hsa:100033447	SNORD115-10
hsa:100033448	SNORD115-11
hsa:100033449	SNORD115-12
hsa:100033450	SNORD115-13
hsa:100033451	SNORD115-14
hsa:100033453	SNORD115-15
hsa:100033454	SNORD115-16
hsa:100033455	SNORD115-17
hsa:100033456	SNORD115-18
hsa:100033458	SNORD115-19
hsa:100033460	SNORD115-20
hsa:100033603	SNORD115-21
hsa:100033799	SNORD115-22
hsa:100033800	SNORD115-23
hsa:100033801	SNORD115-25
hsa:100033802	SNORD115-26
hsa:100033803	SNORD115-29
hsa:100033804	SNORD115-30
hsa:100033805	SNORD115-31
hsa:100033806	SNORD115-32
hsa:100033807	SNORD115-33
hsa:100033808	SNORD115-34
hsa:100033809	SNORD115-35
hsa:100033810	SNORD115-36
hsa:100033811	SNORD115-37
hsa:100033812	SNORD115-38
hsa:100033813	SNORD115-39
hsa:100033814	SNORD115-40
hsa:100033815	SNORD115-41
hsa:100033816	SNORD115-42
hsa:100033817	SNORD115-43
hsa:100033818	SNORD115-44
hsa:100033819	MIR675
hsa:100033820	SNORD116-28
hsa:100033821	SNORD116-29
hsa:100033822	SNORD115-48
hsa:100036563	SNORD115-24
hsa:100036564	SNORD115-27
hsa:100036565	SNORD115-28
hsa:100036566	SNORD115-45
hsa:100036567	SNORD115-47
hsa:100037417	DDTL
hsa:10004	NAALADL1
hsa:100049587	SIGLEC14
hsa:10005	ACOT8
hsa:10006	ABI1
hsa:10007	GNPDA1
hsa:10008	KCNE3
hsa:10009	ZBTB33
hsa:1001	CDH3
hsa:10010	TANK
hsa:100101267	POM121C
hsa:100101268	SPDYE12P
hsa:100101467	ZSCAN30
hsa:100101629	GAGE8
hsa:10011	SRA1
hsa:100113378	SNORD119
hsa:100113379	SNORD121A
hsa:100113380	SNORD125
hsa:100113381	SNORD19B
hsa:100113382	SNORD105B
hsa:100113384	SNORD123
hsa:100113389	SNORD127
hsa:100113391	SNORD126
hsa:100113392	SNORD11B
hsa:100113393	SNORD12B
hsa:100113402	SNORD111B
hsa:100113407	TMEM170B
hsa:100124516	SNORD58C
hsa:100124533	SCARNA27
hsa:100124534	SNORA84
hsa:100124535	SNORA36C
hsa:100124536	SNORA38B
hsa:100124537	SNORA70B
hsa:100124538	SNORA70C
hsa:100124539	SNORA11B
hsa:100124540	SNORA11C
hsa:100124541	SNORA11D
hsa:100125288	ZGLP1
hsa:100126296	MIR298
hsa:100126297	MIR300
hsa:100126299	VTRNA2-1
hsa:100126301	MIR509-2
hsa:100126302	MIR450B
hsa:100126303	MIR890
hsa:100126304	MIR891B
hsa:100126306	MIR888
hsa:100126307	MIR892B
hsa:100126308	MIR541
hsa:100126309	MIR875
hsa:100126310	MIR876
hsa:100126311	MIR147B
hsa:100126313	MIR744
hsa:100126314	MIR877
hsa:100126315	MIR665
hsa:100126316	MIR873
hsa:100126317	MIR374B
hsa:100126318	MIR301B
hsa:100126319	MIR216B
hsa:100126320	MIR920
hsa:100126321	MIR922
hsa:100126323	MIR924
hsa:100126324	MIR934
hsa:100126325	MIR935
hsa:100126326	MIR936
hsa:100126327	MIR938
hsa:100126328	MIR940
hsa:100126329	MIR941-1
hsa:100126330	MIR941-4
hsa:100126331	MIR942
hsa:100126332	MIR943
hsa:100126333	MIR708
hsa:100126334	MIR885
hsa:100126335	MIR543
hsa:100126336	MIR208B
hsa:100126337	MIR509-3
hsa:100126338	MIR937
hsa:100126339	MIR941-2
hsa:100126340	MIR944
hsa:100126341	MIR891A
hsa:100126342	MIR892A
hsa:100126343	MIR874
hsa:100126345	MIR889
hsa:100126346	MIR190B
hsa:100126347	MIR887
hsa:100126348	MIR760
hsa:100126349	MIR921
hsa:100126350	MIR933
hsa:100126351	MIR939
hsa:100126352	MIR941-3
hsa:100126354	MIR297
hsa:100126355	MIR365A
hsa:100126356	MIR365B
hsa:100126572	GJE1
hsa:100126780	SNAR-G1
hsa:100126781	SNAR-F
hsa:100126798	SNAR-A1
hsa:100126799	SNAR-A2
hsa:100126800	SNAR-A12
hsa:100127206	MINAR2
hsa:100127983	C8orf88
hsa:100128071	FAM229A
hsa:100128327	TRAPPC3L
hsa:100128553	CTAGE4
hsa:100128569	C19orf71
hsa:100128731	OST4
hsa:100128908	LMLN2
hsa:100128927	ZBTB42
hsa:100129094	BTNL10
hsa:100129128	KHDC1L
hsa:100129216	DEFB131B
hsa:100129239	CXorf51A
hsa:100129250	SMIM27
hsa:100129271	C1orf68
hsa:100129278	TDRD15
hsa:100129361	SMIM10L1
hsa:100129385	C9orf92
hsa:100129396	FAM106C
hsa:100129407	FAM236A
hsa:100129480	MKRN2OS
hsa:100129515	ETDB
hsa:100129520	TEX13C
hsa:100129528	MUC8
hsa:100129543	ZNF730
hsa:100129583	FAM47E
hsa:100129654	TCF24
hsa:100129669	IZUMO3
hsa:100129792	CCDC152
hsa:100129836	COL4A2-AS2
hsa:100129842	ZNF737
hsa:100129924	TMEM269
hsa:100129969	FAM205C
hsa:10013	HDAC6
hsa:100130086	HSFX2
hsa:100130274	CCDC166
hsa:100130301	C8orf89
hsa:100130302	SUPT20HL1
hsa:100130311	C17orf107
hsa:100130348	TMEM262
hsa:100130361	CXorf49
hsa:100130519	TMEM221
hsa:100130520	CD300H
hsa:100130613	PRR32
hsa:100130705	ATP6V1FNB
hsa:100130733	LRRC70
hsa:100130742	LRRC69
hsa:100130771	EFCAB10
hsa:100130827	SBK3
hsa:100130890	TSTD3
hsa:100130933	SMIM6
hsa:100130958	SYCE1L
hsa:100130988	SPATA48
hsa:100131017	ZNF316
hsa:100131137	BSPH1
hsa:100131187	TSTD1
hsa:100131211	NEMP2
hsa:100131244	ANKRD63
hsa:100131303	DPEP2NB
hsa:100131378	C11orf91
hsa:100131390	SP9
hsa:100131439	CD300LD
hsa:100131539	ZNF705E
