,node.id,symbol
1,740284,HLA-DRB3
2,715295,PLA2G1B
3,737343,CLDN23
4,725343,RAC1
5,709979,GAD2
6,732945,PLCB3
7,737683,HRAS
8,731361,OR6N1
9,702703,POLR2F
10,714909,MTAP
11,721127,XCL1
12,726280,PLA2G6
13,715771,HLCS
14,730250,PRKCG
15,739770,IKBKG
16,726701,AKT1
17,702663,PDE3A
18,720454,PIK3R1
19,740613,ITGA8
20,711701,CYP2C19
21,733499,PIK3R3
22,732059,PIK3CD
23,725781,PRKX
24,718514,EIF2B4
25,714746,GFPT2
26,737075,PLCB2
27,700835,GALK1
28,736553,CD3G
29,715644,PIGX
30,736055,ROCK2
31,725947,BMP7
32,729612,PIK3R1
33,718951,POLR2E
34,727258,CD40LG
35,720360,STAT5A
36,723452,IFNA4
37,715808,HMBS
38,711500,NARS2
39,739124,GLI2
40,723045,CDK4
41,727025,COL11A2
42,726112,RHOD
43,708879,FUT4
44,731557,OR10G4
45,723006,CCNG1
46,735203,GRIA2
47,740373,IL6
48,736832,AKT3
49,731809,CNGB1
50,706439,MGAT1
51,730754,RAPGEF3
52,728302,HSP90AA1
53,722806,SKP1
54,730792,ITPR3
55,735244,NEFH
56,709829,SUCLA2
57,720802,ADRB2
58,718804,CNOT4
59,735981,CXCR1
60,706416,STT3A
61,715637,PIGY
62,723529,SEC23B
63,712274,TK2
64,737562,LAMA3
65,736871,LAMB3
66,702856,ITPA
67,730638,PER3
68,723834,HEXA
69,720125,MAPK10
70,739168,DVL1
71,736332,IL1B
72,736985,RELA
73,732338,PRKAR2A
74,704919,AOX1
75,703746,MRI1
76,720463,SRC
77,719090,PRIM1
78,723178,ANAPC1
79,737574,ITGA2B
80,730363,PIK3CB
81,725692,NOTCH1
82,723692,SAR1B
83,735483,SOD2
84,720977,PDGFRA
85,734066,ATP1B1
86,739139,WNT1
87,733267,PRKCZ
88,715144,COX7B2
89,722354,ADRB1
90,731854,CALML6
91,730452,GNAI2
92,702702,POLR2E
93,705485,IL4I1
94,724927,CACNA2D1
95,732459,IRS2
96,728640,CASP5
97,737132,SERPINB4
