node_name,node_type
fm_723567,protein
SEC63,protein
SEC62,protein
HLA-DRB3,protein
CLDN23,protein
GAD2,protein
OR6N1,protein
3-Phospho-(R)-glycerate,compound
L-3-Hydroxy-alanine,compound
MTAP,protein
XCL1,protein
2-Ketoglutaric acid,compound
PRKCG,protein
PDE3A,protein
PIK3R1,protein
fm_722184,protein
CNR2,protein
CNR1,protein
CHP2,protein
CYP2C19,protein
PIK3CD,protein
EIF2B4,protein
fm_723623,protein
DERL2,protein
DERL1,protein
DERL3,protein
CD3G,protein
GALK1,protein
PIGX,protein
PIK3R1,protein
POLR2E,protein
CD40LG,protein
NARS2,protein
CDK4,protein
COL11A2,protein
CCNG1,protein
IL6,protein
fm_722810,protein
CCNE2,protein
CCNE1,protein
HSP90AA1,protein
NEFH,protein
SUCLA2,protein
ADRB2,protein
fm_734248,protein
G6PC2,protein
G6PC,protein
TK2,protein
LAMA3,protein
20-Hydroxycholesterol,compound
HEXA,protein
RELA,protein
PRKAR2A,protein
AOX1,protein
PRIM1,protein
SOD2,protein
PDGFRA,protein
WNT1,protein
PRKCZ,protein
ADRB1,protein
"1,2-Diacyl-sn-glycerol",compound
fm_709950,protein
HMGCS1,protein
HMGCS2,protein
IL4I1,protein
IRS2,protein
CASP5,protein
SERPINB4,protein
TLR1,protein
POLR2A,protein
DRD5,protein
Acetyl-CoA,compound
P2RY6,protein
WNT8B,protein
ATR,protein
fm_729701,protein
MAP2K2,protein
MAP2K1,protein
PIK3R5,protein
"delta8,14 -Sterol",compound
TRAF6,protein
ND3,protein
FASLG,protein
CHRNA2,protein
TK2,protein
GALNS,protein
BRAF,protein
fm_732620,protein
ITPR1,protein
ITPR3,protein
ITPR2,protein
PRSS3,protein
fm_703769,protein
AHCYL1,protein
AHCY,protein
AHCYL2,protein
fm_715067,protein
PRDX6,protein
CAT,protein
HLA-DQA2,protein
MMP2,protein
Acetyl-CoA,compound
EIF2AK3,protein
ITGB2,protein
"1,2-Diacyl-sn-glycero-3-phosphoinositol",compound
fm_736481,protein
GNA11,protein
GNA14,protein
GNAQ,protein
GNA15,protein
AKT1,protein
IKBKB,protein
fm_725032,protein
PPP1R12B,protein
PPP1CC,protein
PPP1R12A,protein
PPP1CA,protein
PPP1CB,protein
fm_703505,protein
GAD1,protein
GAD2,protein
"3,4-Dihydroxymandelaldehyde",compound
NCK2,protein
B4GALT7,protein
NCR1,protein
CACNA1C,protein
CRHR2,protein
PIK3CG,protein
Propionyl-CoA,compound
fm_726879,protein
PAK3,protein
PAK6,protein
PAK2,protein
PAK4,protein
PAK7,protein
PAK1,protein
PPIF,protein
ITGB4,protein
E2F1,protein
TXNDC5,protein
fm_720710,protein
PLCB2,protein
PLCB1,protein
PLCB4,protein
PLCB3,protein
PRKACA,protein
fm_733633,protein
GLUD1,protein
GLUD2,protein
CSK,protein
FOS,protein
,protein
fm_722676,protein
HDAC2,protein
HDAC1,protein
ACSS1,protein
CDC25A,protein
fm_725106,protein
KCNMB3,protein
KCNU1,protein
KCNMB4,protein
KCNMA1,protein
KCNMB2,protein
KCNMB1,protein
HLA-DRB3,protein
(6S)-Tetrahydrofolate,compound
fm_714340,protein
,protein
,protein
,protein
VEGFB,protein
UGT1A4,protein
TGFB3,protein
fm_737692,protein
MAP2K1,protein
MAP2K2,protein
FZD1,protein
SULT1A4,protein
POLR3G,protein
GNA11,protein
SEMA4C,protein
SIL1,protein
CANT1,protein
TP53,protein
AKT1,protein
,compound
CACNA2D1,protein
fm_720403,protein
MAPK8,protein
MAPK10,protein
MAPK9,protein
OR2M7,protein
CHST12,protein
LOC653888,protein
IRS4,protein
fm_732359,protein
KRAS,protein
NRAS,protein
HRAS,protein
fm_735561,protein
NCAM2,protein
NCAM1,protein
GRM5,protein
AMACR,protein
ATP1A3,protein
FGF6,protein
ARHGEF6,protein
Na+,compound
PLA2G2A,protein
NDUFB5,protein
HTR1A,protein
CDC42,protein
fm_732013,protein
ARHGEF7,protein
PRKCD,protein
MYLK2,protein
fm_730147,protein
AKT3,protein
AKT1,protein
AKT2,protein
COX8C,protein
CALML3,protein
ITPR1,protein
MAPKAPK2,protein
PLCG2,protein
,compound
CLDN9,protein
,protein
CTSG,protein
BST1,protein
OR13C5,protein
UPB1,protein
MAGI1,protein
CD14,protein
PTEN,protein
CFH,protein
ATP1A2,protein
NDUFV2,protein
GRIN3A,protein
Estrone glucuronide,compound
STK11,protein
PTGS2,protein
RHOA,protein
fm_730783,protein
PLCB2,protein
PLCB4,protein
PLCB1,protein
PLCB3,protein
fm_738788,protein
PLCG1,protein
PLCG2,protein
CXCL2,protein
SCTR,protein
CDH2,protein
TLR3,protein
SMPD2,protein
SH3GL3,protein
PIK3R1,protein
fm_712254,protein
NAT2,protein
NAT1,protein
SOS2,protein
OGT,protein
CHRNG,protein
HDAC2,protein
CASP3,protein
CTNNB1,protein
,compound
GALNT11,protein
HSPA8,protein
MAPK9,protein
O-1-Alkyl-2-acyl-sn-glycero-3-phosphoethanolamine,compound
GNAT1,protein
AMDHD1,protein
HNF4A,protein
fm_720823,protein
CACNA1H,protein
CACNA1G,protein
CACNA1I,protein
fm_732953,protein
TCF7,protein
TCF7L2,protein
LEF1,protein
TCF7L1,protein
ENPP7,protein
KLRK1,protein
(2E)-Tetradecenoyl-CoA,compound
,protein
UGT2B4,protein
CACNA1G,protein
RPA2,protein
fm_738344,protein
HIF1A,protein
EPAS1,protein
ALDH1B1,protein
SELP,protein
COL1A1,protein
fm_733388,protein
IL1B,protein
IL1A,protein
fm_725169,protein
PRKX,protein
PRKACB,protein
PRKACA,protein
PRKACG,protein
fm_731825,protein
GUCY2D,protein
GUCY2F,protein
ALDH6A1,protein
NDUFB5,protein
CYP11A1,protein
GABA,compound
NEDD4,protein
,protein
,protein
CNTNAP1,protein
RPS6KB1,protein
UQCRB,protein
IFNA1,protein
,protein
IL13,protein
PRKACG,protein
AKT1,protein
PDXP,protein
fm_736308,protein
NFKBIB,protein
NFKBIA,protein
WNT10A,protein
LOC652614,protein
GPI,protein
fm_711052,protein
EPRS,protein
EARS2,protein
CD8A,protein
gamma-Glutamylcysteine,compound
PDCD1LG2,protein
TGFBR2,protein
AKT2,protein
B4GALT2,protein
KIR2DL2,protein
ADH4,protein
RFC1,protein
fm_725333,protein
WNT5B,protein
WNT5A,protein
CTH,protein
CHRNA7,protein
IFNA17,protein
WNT9B,protein
TNFSF13B,protein
PABPC1L2B,protein
ITPR3,protein
fm_720385,protein
NCK1,protein
NCK2,protein
UGT1A8,protein
fm_725295,protein
PRKCG,protein
PRKCA,protein
PRKCB,protein
MET,protein
fm_703212,protein
CMPK2,protein
CMPK1,protein
,protein
SOS2,protein
fm_721775,protein
PIK3R1,protein
PIK3C2G,protein
PIK3R3,protein
PIK3C2A,protein
PIK3C2B,protein
PIK3R5,protein
PIK3R2,protein
DIAPH3,protein
GNAT3,protein
Cyanohydrin,compound
NPR1,protein
PDC,protein
DGKD,protein
fm_731132,protein
PLCB3,protein
PLCB2,protein
PLCB4,protein
PLCB1,protein
ATP1B4,protein
HSPA8,protein
AMY2B,protein
,compound
IDI1,protein
DGKH,protein
,compound
POLR3D,protein
fm_725043,protein
PRKCE,protein
PRKCA,protein
PRKCD,protein
PRKCH,protein
PRKCB,protein
PRKCG,protein
PRKCQ,protein
fm_722494,protein
MCM2,protein
MCM3,protein
MCM5,protein
MCM4,protein
MCM7,protein
MCM6,protein
HKDC1,protein
fm_728225,protein
RFX5,protein
RFXAP,protein
RFXANK,protein
HRAS,protein
"Phosphatidylinositol-3,4,5-trisphosphate",compound
Carbamoyl phosphate,compound
CEPT1,protein
PKMYT1,protein
CTSB,protein
FHL2,protein
fm_735378,protein
COX7A1,protein
COX7C,protein
COX7A2L,protein
COX2,protein
COX6A2,protein
COX6B2,protein
COX1,protein
COX5B,protein
COX7B2,protein
COX4I1,protein
COX6A1,protein
COX8A,protein
COX5A,protein
COX6C,protein
COX3,protein
COX4I2,protein
COX6B1,protein
COX7B,protein
COX7A2,protein
IFNA7,protein
ATP5G3,protein
ALDH3B2,protein
RFC2,protein
NDUFS4,protein
ADH1C,protein
,compound
Purine-6-ol,compound
,compound
fm_708966,protein
ST3GAL3,protein
ST3GAL4,protein
UDPglucuronate,compound
CTSG,protein
OR10A4,protein
CIITA,protein
VEGFC,protein
fm_734305,compound
L-Aspartic acid,compound
L-Glutamic acid,compound
NUDT9,protein
BIRC2,protein
GPI,protein
CLDN1,protein
fm_728456,protein
PIK3CG,protein
PIK3R3,protein
PIK3R2,protein
PIK3R1,protein
PIK3CA,protein
PIK3CD,protein
PIK3CB,protein
PIK3R5,protein
IKBKG,protein
ATP6V0D1,protein
ADCY2,protein
fm_718702,protein
MSI1,protein
DAZAP1,protein
MSI2,protein
fm_733992,protein
CAMK2G,protein
CAMK2A,protein
CAMK2D,protein
CAMK2B,protein
HPRT1,protein
FXYD4,protein
CACNA2D3,protein
GUSB,protein
fm_710762,protein
DHRS4L2,protein
DHRS3,protein
DHRS4,protein
DHRS9,protein
MYD88,protein
Vitamin A palmitate,compound
CTH,protein
UQCRFS1,protein
Adenylosuccinate,compound
D-Glyceraldehyde,compound
MAPK1,protein
DDC,protein
"(8Z,11Z,14Z)-Icosatrienoyl-CoA",compound
LSM7,protein
fm_714898,protein
ALDH9A1,protein
AOX1,protein
ALDH7A1,protein
ALDH2,protein
ALDH3A2,protein
1-Phosphatidyl-1D-myo-inositol 3-phosphate,compound
"N-(3-Aminopropyl)-1,4-butane-diamine",compound
FAH,protein
PLCG1,protein
SDHA,protein
ALDH1B1,protein
11-cis-Retinyl palmitate,compound
MAPK13,protein
Campesterol,compound
,protein
CYP2E1,protein
fm_702835,protein
PDE6H,protein
PDE9A,protein
PDE7B,protein
PDE2A,protein
PDE4C,protein
PDE10A,protein
PDE5A,protein
PDE4A,protein
PDE6C,protein
PDE3B,protein
PDE4B,protein
PDE1A,protein
PDE4D,protein
PDE8B,protein
PDE11A,protein
PDE1B,protein
PDE6G,protein
PDE7A,protein
PDE6D,protein
PDE6B,protein
PDE8A,protein
PDE6A,protein
PDE1C,protein
ATP5B,protein
GRIN2A,protein
FOXO3,protein
fm_710242,protein
ENPP1,protein
ENPP3,protein
CPT2,protein
fm_733900,protein
PLCB1,protein
PLCB4,protein
PLCB3,protein
PLCB2,protein
L-Fucose,compound
PLCB1,protein
PDGFB,protein
CD28,protein
FBP1,protein
fm_722259,protein
OPRL1,protein
OPRM1,protein
OPRK1,protein
OPRD1,protein
HLA-DRB5,protein
ADCY9,protein
PIK3CG,protein
ITGB7,protein
Adenosine 5&,compound
TNFRSF1A,protein
PLA2G4B,protein
"6-Pyruvoyl-5,6,7,8-tetrahydropterin",compound
TUBB1,protein
OR1L1,protein
IFNA6,protein
SLC8A3,protein
"2,3-Diketo-5-methylthiopentyl-1-phosphate",compound
OR2B2,protein
Deoxycytidine,compound
PTK2,protein
CDC25B,protein
Dihydroxyacetone phosphate,compound
APRT,protein
,compound
fm_704298,protein
GLT25D2,protein
PLOD3,protein
GLT25D1,protein
C9,protein
ITPR3,protein
ATP5A1,protein
PLA2G4A,protein
SV2C,protein
fm_736820,protein
PIK3CD,protein
PIK3R1,protein
PIK3CA,protein
PIK3R2,protein
PIK3CG,protein
PIK3CB,protein
PIK3R3,protein
PIK3R5,protein
POLR1D,protein
DAO,protein
PTGER4,protein
NDUFV1,protein
PNN,protein
PIK3R3,protein
RAC1,protein
fm_719372,compound
"(6Z,8E,10E,14Z)-(5S,12R)-5,12-Dihydroxyeicosa-6,8,10,14-tetraenoate",compound
"(5Z,9E,11Z,14Z)-(8S)-8-Hydroxyeicosa-5,9,11,14-tetraenoic acid",compound
ADCY5,protein
,compound
ACADSB,protein
fm_737846,protein
ZBTB16,protein
RARA,protein
RBPJ,protein
OR5AR1,protein
FZD2,protein
IL12B,protein
RANGAP1,protein
MYL3,protein
,compound
Butyryl-CoA,compound
PIK3CB,protein
CYP3A43,protein
PLEKHO2,protein
DNMT3B,protein
CRYL1,protein
FGF17,protein
HRAS,protein
PIK3CA,protein
PAK6,protein
Glycochenodeoxycholate,compound
METTL6,protein
Grape sugar,compound
fm_727788,protein
MAGI2,protein
MAGI3,protein
CYP26A1,protein
LIPC,protein
FGF18,protein
PLCG1,protein
fm_730871,protein
KRAS,protein
HRAS,protein
NRAS,protein
MAPK10,protein
ADSS,protein
OR4X1,protein
Arterenol,compound
L-Cysteinesulfinic acid,compound
GGT1,protein
IL4R,protein
FBXW11,protein
RFK,protein
GNAQ,protein
MAPK12,protein
fm_706401,protein
MAN1A2,protein
MAN1B1,protein
MAN1A1,protein
MAN1C1,protein
fm_727523,protein
ACTN3,protein
ACTN4,protein
