hsa04514,hsa00430,hsa00563,hsa04810,hsa04710,hsa04722,hsa00250,hsa00983,hsa05414,hsa04310,hsa00051,hsa04621,hsa04140,hsa00072,hsa00601,hsa05412,hsa05110,hsa00290,hsa04920,hsa04742,hsa04512,hsa00240,hsa04623,hsa05010,hsa04622,hsa04142,hsa00010,hsa05100,hsa05020,hsa05012,hsa04012,hsa04520,hsa00450,hsa00030,hsa05223,hsa00640,hsa04972,hsa05145,hsa04330,hsa05146,hsa04020,hsa00790,hsa00600,hsa05330,hsa04510,hsa00750,hsa04130,hsa04976,hsa05014,hsa04141,hsa04916,hsa00052,hsa00534,hsa00670,hsa00650,hsa05410,hsa00340,hsa00053,hsa05221,hsa04530,hsa04320,hsa00310,hsa00564,hsa00592,hsa00920,hsa00120,hsa00460,hsa05210,hsa05150,hsa00020,hsa04914,hsa00562,hsa05212,hsa04660,hsa04370,hsa00500,hsa04973,hsa00512,hsa00280,hsa03015,hsa00900,hsa05416,hsa00350,hsa00040,hsa00480,hsa04260,hsa04144,hsa05217,hsa04971,hsa04270,hsa00360,hsa04612,hsa04145,hsa04650,hsa04340,hsa04630,hsa05222,hsa05320,hsa00330,hsa04380,hsa04060,hsa04910,hsa00230,hsa05144,hsa00590,hsa03018,hsa00400,hsa00410,hsa04950,hsa05216,hsa00270,hsa00970,hsa04122,hsa04670,hsa04970,hsa03320,hsa00910,hsa04062,hsa04610,hsa05220,hsa04960,hsa00232,hsa05215,hsa05016,hsa04666,hsa05214,hsa05218,hsa04962,hsa00520,hsa00260,hsa05200,hsa00532,hsa05211,hsa05160,hsa05130,hsa04930,hsa05213,hsa00140,hsa00770,hsa04010,hsa04114,hsa04662,hsa00760,hsa01040,hsa05142,hsa00062,hsa04912,hsa00061,hsa04115,hsa04350,hsa00603,hsa00561,hsa04740,hsa05219,hsa00630,hsa00604,hsa04720,hsa03013,hsa05140,hsa04210,hsa04672,hsa00980,hsa00510,hsa00071,hsa00100,hsa00591,hsa05322,hsa04730,hsa00531,hsa04110,hsa04620,hsa05131,hsa04540,hsa04360,hsa04664,hsa00740,hsa04150,hsa00830,hsa00565,hsa04080,hsa04744,hsa00860,hsa00380,hsa05120,hsa00620,hsa00982
727355,705713,708019,732262,730665,731032,703548,712340,740798,725536,700774,728722,723479,701683,709126,740652,735893,704176,733193,731804,727104,703361,728941,735020,728821,723963,700196,735774,735623,735191,720535,727554,705822,700441,739943,709936,734188,736953,725715,737142,720883,710677,708875,740327,726976,710326,723411,734771,735309,723756,733048,700919,707586,710158,710090,740558,704839,701041,739646,727822,725630,704396,708250,708737,711487,701882,705924,738293,737276,700325,732879,707898,738599,729774,726373,706309,734298,706808,704082,718742,711263,740899,705026,700600,706101,725015,724263,739205,734002,725256,705213,728334,724502,729512,725811,729148,739819,740086,704680,726624,721296,732474,703034,736716,708559,718907,705568,705652,733432,739118,703904,711685,723346,730525,733856,719498,711415,721644,728169,739537,733526,703149,739049,735550,730277,738873,739318,733603,707221,703693,738013,707471,738419,737492,736111,733294,738682,702289,710529,720297,722945,729905,710434,712479,736607,701367,732706,701291,723077,725999,709336,707738,731694,739388,709780,709413,730821,718594,736391,724892,730609,711868,706587,701646,701806,708659,740265,731271,707391,722737,728581,736237,728028,726210,730088,710273,724714,710840,708365,722465,731880,711175,705421,736015,709619,712186
727425,705718,707985,732197,730675,731039,703552,712350,740776,725531,700779,728685,723480,701684,709202,740653,735882,704179,733201,731800,727117,703396,728939,735000,728828,723959,700184,735777,735620,735189,720565,727570,705815,700437,739955,709928,734175,736928,725720,737146,720856,710685,708867,740326,726946,710332,723413,734767,735278,723760,733050,700916,707597,710151,710088,740557,704840,701040,739675,727854,725633,704405,708252,708739,711492,701907,705922,738298,737283,700334,732872,707890,738559,729771,726385,706305,734297,706852,704051,718723,711265,740912,705049,700596,706102,725010,724258,739196,734014,725262,705216,728339,724509,729471,725818,729142,739823,740084,704665,726591,721286,732507,703067,736715,708548,718896,705572,705658,733430,739108,703894,711672,723350,730502,733861,719531,711410,721609,728157,739520,733529,703153,739025,735555,730278,738868,739319,733610,707235,703699,738130,707485,738426,737503,736117,733305,738689,702284,710537,720263,722942,729900,710439,712488,736600,701355,732712,701236,723115,725977,709328,707739,731695,739391,709782,709440,730813,718548,736375,724860,730603,711881,706500,701623,701805,708660,740264,731247,707406,722732,728588,736253,728005,726242,730069,710272,724731,710866,708375,722404,731871,711166,705431,736002,709627,712132
727390,705724,708021,732191,730674,731112,703541,712337,740793,725572,700766,728699,723472,701682,709194,740651,735899,704181,733170,731805,727152,703356,728934,735019,728839,723961,700182,735768,735626,735188,720500,727557,705823,700452,739934,709937,734182,736942,725729,737141,720869,710681,708854,740328,726930,710337,723410,734777,735317,723734,733051,700921,707600,710148,710102,740548,704845,701043,739666,727810,725629,704392,708244,708741,711491,701898,705923,738300,737281,700331,732880,707900,738580,729738,726381,706313,734295,706770,704037,718748,711270,740906,705052,700594,706125,725017,724269,739200,734003,725243,705207,728341,724505,729506,725809,729136,739816,740085,704704,726612,721313,732480,703080,736717,708556,718889,705563,705662,733424,739112,703880,711684,723347,730480,733868,719503,711411,721660,728198,739539,733534,703152,739035,735554,730266,738865,739303,733611,707209,703700,738169,707473,738443,737501,736112,733291,738687,702277,710534,720242,722972,729928,710431,712486,736591,701338,732722,701184,723109,725976,709320,707737,731702,739385,709788,709419,730828,718583,736385,724884,730606,711888,706495,701577,701782,708661,740267,731259,707392,722713,728568,736245,728027,726223,730075,710271,724705,710827,708366,722440,731881,711170,705422,736010,709620,712130
727424,705721,708004,732229,730664,731066,703550,712361,740784,725561,700768,728708,723478,701685,709018,740660,735892,704177,733171,731796,727127,703402,728943,734999,728842,723962,700210,735779,735633,735190,720562,727594,705818,700439,739946,709931,734179,736943,725723,737148,720837,710676,708853,740329,726965,710338,723414,734765,735303,723775,733057,700923,707577,710146,710099,740542,704833,701042,739655,727811,725632,704395,708283,708740,711488,701903,705921,738302,737286,700322,732876,707897,738594,729748,726394,706332,734293,706743,704100,718732,711262,740907,705073,700603,706113,725021,724279,739199,734011,725276,705204,728331,724514,729520,725810,729150,739822,740083,704672,726618,721258,732515,703006,736714,708587,718905,705565,705649,733429,739116,703876,711671,723351,730479,733857,719526,711414,721653,728195,739540,733521,703148,739026,735559,730265,738856,739308,733607,707182,703721,738049,707478,738428,737493,736113,733303,738680,702304,710533,720332,722979,729914,710452,712491,736599,701362,732729,701241,723118,725972,709342,707747,731701,739394,709793,709434,730816,718591,736373,724857,730611,711886,706570,701589,701800,708656,740266,731269,707378,722759,728526,736252,728023,726235,730091,710274,724717,710852,708374,722491,731863,711171,705390,736000,709631,712131
727394,705723,708038,732214,730673,731080,703535,712348,740802,725565,700761,728706,723475,701686,709272,740654,735898,704175,733196,731803,727108,703411,728928,735006,728847,723960,700197,735770,735627,735193,720559,727566,705821,700451,739954,709935,734195,736957,725726,,720880,710686,708862,740324,726931,710327,723412,734781,735301,723779,733049,700918,707603,710147,710087,740550,704843,,739669,727855,725631,704400,708268,708738,711486,701879,,738290,737271,700335,732869,707905,738581,729773,726378,706315,734296,706750,704057,718711,711269,740900,705054,700595,706126,725016,724288,739198,734009,725242,705202,728340,724510,729499,725821,729144,739804,740082,704682,726636,721328,732469,703091,736712,708550,718872,705570,705655,733433,739111,703899,711679,723348,730484,733851,719480,711418,721608,728180,739517,733530,703151,739051,735551,730298,738874,739305,733606,707188,703705,738037,707482,738432,737474,736116,733319,738693,702243,710538,720185,722947,729917,710440,712497,736592,701371,732697,701261,723078,725986,709333,707740,731704,739392,709785,709429,730799,718542,736382,724886,730614,711869,706593,701541,701790,708657,,731253,707357,722707,728544,736246,728024,726193,730070,710275,724722,710861,708364,722447,731869,711174,705392,736012,709625,712181
727438,705722,708009,732205,730666,731108,703529,712349,740779,725545,700778,728723,723476,,709171,740659,735886,704180,733216,731806,727142,703397,728935,735005,728814,,700199,735758,735632,735196,720553,727604,705820,700445,739936,709922,734189,736949,725717,,720877,710684,708846,740325,726973,710334,723409,734778,735293,723782,733041,700930,707579,710145,710089,740551,704835,,739651,727833,725634,704397,708272,,711490,701914,,738299,737275,700319,732881,707908,738574,729756,726392,706339,734291,706850,704087,718736,711260,740903,705051,700604,706098,725018,724278,739206,734000,725228,705211,728333,724506,729501,725812,729152,739805,,704681,726605,721243,732525,703100,736713,708541,718879,705566,705661,733423,739109,703901,711667,723349,730497,733869,719496,711413,721638,728151,739535,733533,703154,739034,735553,730282,738828,739302,733605,707228,703694,738123,707479,738447,737478,,733316,738679,702266,710532,720256,722962,729918,710437,712477,736596,701354,732711,701155,723130,725995,709323,707743,731710,739390,709773,709424,730795,718582,736383,724861,730613,711866,706600,701629,701781,708658,,731281,707408,722721,728529,736242,728055,726224,730076,,724712,710847,708376,722462,731870,711169,705415,736005,709617,712190
727420,705719,707966,732232,730663,731020,703551,712339,740781,725557,700775,728703,723477,,709003,740650,735890,704182,733206,731795,727097,703380,728932,735014,728846,,700189,735757,735619,735192,720496,727608,705817,700450,739921,709929,734176,736963,725728,,720853,710687,708840,,726927,710331,,734779,735308,723770,733059,700917,707598,710159,710098,740543,704832,,739680,727815,,704394,708270,,711489,701893,,738292,737282,700329,732874,707888,738578,729755,726370,706326,734292,706711,704071,718756,711266,740905,705041,700601,706107,725007,724290,739203,734005,725251,705218,728342,724513,729509,725820,729141,739806,,704683,726608,721179,732500,703076,,708568,718913,705574,705660,733438,739114,703893,711681,723345,730496,733862,719486,711420,721635,728168,739549,733522,703155,739018,735556,730296,738847,739316,733608,707234,703690,738047,707484,738435,737507,,733308,738694,702334,710539,720235,722968,729899,710442,712490,736578,701344,732733,701230,723107,725994,709341,707732,731705,739386,709791,709418,730820,718597,736374,724910,730610,711871,706489,701584,701803,,,731246,707407,722720,728546,736241,728036,726244,730067,,724715,710842,708370,722443,731878,711164,705406,736013,709637,712168
727374,705720,708045,732227,730667,731056,703547,712341,740778,725547,700758,728710,723474,,709022,740661,735884,704178,733180,731802,727110,703416,728926,735011,728817,,700215,735753,735624,735198,720521,727584,705824,700438,739931,709930,734198,736958,725730,,720844,710679,708842,,726975,710335,,734775,735291,723784,733040,700920,707588,710153,710095,740554,704838,,739672,727826,,704407,708265,,711485,701887,,738286,737285,700336,732866,707886,738575,729749,726368,706324,,706727,704081,718741,711261,740911,705068,700602,706089,725014,724283,739202,734012,725241,705209,728332,724511,729503,725822,729157,739810,,704706,726597,721169,732545,703050,,708574,718890,705558,705656,733442,739117,703877,711670,723344,730483,733850,719477,711412,721606,728166,739529,733532,703150,739029,735557,730275,738810,739317,733612,707237,703712,738166,707483,738439,737488,,733311,738685,702326,710530,720277,722957,729938,710445,712482,736576,701345,732700,701271,723083,725993,709322,707742,731698,739387,709792,709449,730806,718587,736372,724913,730601,711887,706606,701516,701796,,,731258,707369,722742,728586,736251,728020,726216,730094,,724719,710843,708373,722442,731875,711176,705407,736007,709633,712188
727410,705715,707996,732219,730676,731046,703532,712347,740789,725558,700776,728720,723473,,709227,,735888,,733212,731799,727111,703410,728933,735001,728844,,700214,735766,735625,735197,720523,727606,705816,700448,739935,709923,734177,736955,725724,,720868,710680,708845,,726960,710330,,734772,735294,723736,733047,700911,707602,710152,710093,740544,704841,,739665,727814,,704406,708274,,,701906,,738304,737278,700327,732864,707909,738577,729739,726365,706334,,706749,704055,718718,711259,740904,705071,700597,706090,725019,724262,739197,734019,725231,705212,728335,724504,729480,725814,729149,739820,,704677,726602,721345,732503,703060,,708590,718868,705561,705654,733431,739119,703903,711687,,730531,733859,719495,711416,721651,728201,739518,733523,,739032,735552,730283,738827,739306,733604,707207,703696,738017,707486,738423,737502,,733315,738684,702255,710540,720251,722941,729906,710460,712493,736598,701339,732723,701205,723072,725979,709325,707735,731697,739393,709786,709472,730819,718556,736397,724867,730612,711889,706583,701511,701799,,,731254,707393,722703,728553,736244,728030,726243,730071,,724725,710831,708363,722439,731864,711173,705393,736018,709626,712109
727416,705714,707964,732210,730662,731070,703545,712362,740799,725555,700769,728705,,,709158,,735885,,733173,731797,727123,703409,728942,735004,728837,,700206,735760,735621,,720564,727579,705819,700446,739949,709920,734180,736937,725727,,720879,710688,708844,,726957,710329,,734770,735310,723744,733054,700928,707599,710149,710100,740546,704846,,739644,727821,,704401,708264,,,701889,,738295,737279,700328,732863,707899,738590,729776,726393,706322,,706763,704084,718745,711268,740913,705047,700598,706099,725020,724273,739204,734021,725222,705217,728338,724507,729490,725819,729140,739817,,704707,726616,721201,732472,703025,,708582,718875,705557,705657,733449,739110,703882,711673,,730532,733870,719517,,721636,728179,739531,733538,,739039,735558,730263,738866,739312,733609,707212,703706,738022,707496,738448,737490,,733314,738690,702302,710531,720210,722926,729941,710447,712487,736567,701353,732709,701221,723110,725983,709346,707746,731700,739389,709787,709420,730824,718531,736400,724873,730600,711867,706518,701612,701791,,,731282,707355,722715,728528,736235,728031,726182,730095,,724707,710834,708372,722430,731877,711160,705429,736021,709630,712189
