probe,gene
121_at,PAX8
1255_g_at,GUCA1A
1294_at,UBA7
1316_at,THRA
1405_i_at,CCL5
1431_at,CYP2E1
1438_at,EPHB3
1487_at,ESRRA
1494_f_at,CYP2A6
160020_at,MMP14
1729_at,TRADD
1861_at,BAD
200001_at,CAPNS1
200006_at,PARK7
200016_x_at,HNRNPA1
200017_at,RPS27A
200027_at,NARS
200033_at,DDX5
200039_s_at,PSMB2
200040_at,KHDRBS1
200046_at,DAD1
200047_s_at,YY1
200049_at,KAT7
200057_s_at,NONO
200058_s_at,SNRNP200
200063_s_at,NPM1
200065_s_at,ARF1
200068_s_at,CANX
200075_s_at,GUK1
200077_s_at,OAZ1
200078_s_at,ATP6V0B
200079_s_at,KARS
200081_s_at,RPS6
200085_s_at,TCEB2
200094_s_at,EEF2
200096_s_at,ATP6V0E1
200098_s_at,ANAPC5
200595_s_at,EIF3A
200598_s_at,HSP90B1
200600_at,MSN
200601_at,ACTN4
200602_at,APP
200603_at,PRKAR1A
200610_s_at,NCL
200613_at,AP2M1
200614_at,CLTC
200622_x_at,CALM2
200622_x_at,CALM3
200625_s_at,CAP1
200627_at,PTGES3
200628_s_at,WARS
200630_x_at,SET
200632_s_at,NDRG1
200633_at,UBB
200634_at,PFN1
200635_s_at,PTPRF
200638_s_at,YWHAZ
200642_at,SOD1
200645_at,GABARAP
200648_s_at,GLUL
200650_s_at,LDHA
200651_at,GNB2L1
200653_s_at,CALM1
200653_s_at,CALM2
200667_at,UBE2D3
200670_at,XBP1
200671_s_at,SPTBN1
200675_at,CD81
200676_s_at,UBE2L3
200679_x_at,HMGB1
200681_at,GLO1
200695_at,PPP2R1A
200697_at,HK1
200698_at,KDELR2
200703_at,DYNLL1
200708_at,GOT2
200709_at,FKBP1A
200710_at,ACADVL
200711_s_at,SKP1
200726_at,PPP1CC
200730_s_at,PTP4A1
200736_s_at,GPX1
200739_s_at,SUMO3
200744_s_at,GNB1
200748_s_at,FTH1
200752_s_at,CAPN1
200753_x_at,SRSF2
200762_at,DPYSL2
200766_at,CTSD
200770_s_at,LAMC1
200779_at,ATF4
200780_x_at,GNAS
200786_at,PSMB7
200789_at,ECH1
200790_at,ODC1
200791_s_at,IQGAP1
200792_at,XRCC6
200793_s_at,ACO2
200796_s_at,MCL1
200799_at,HSPA1A
200799_at,HSPA1B
200801_x_at,ACTB
200802_at,SARS
200808_s_at,ZYX
200813_s_at,PAFAH1B1
200814_at,PSME1
200822_x_at,TPI1
200824_at,GSTP1
200827_at,PLOD1
200831_s_at,SCD
200833_s_at,RAP1B
200838_at,CTSB
200841_s_at,EPRS
200844_s_at,PRDX6
200846_s_at,PPP1CA
200848_at,AHCYL1
200854_at,NCOR1
200859_x_at,FLNA
200862_at,DHCR24
200863_s_at,RAB11A
200876_s_at,PSMB1
200877_at,CCT4
200878_at,EPAS1
200880_at,DNAJA1
200882_s_at,PSMD4
200884_at,CKB
200885_at,RHOC
200886_s_at,PGAM1
200887_s_at,STAT1
200903_s_at,AHCY
200904_at,HLA-E
200924_s_at,SLC3A2
200930_s_at,VCL
200932_s_at,DCTN2
200935_at,CALR
200943_at,HMGN1
200946_x_at,GLUD1
200950_at,ARPC1A
200951_s_at,CCND2
200954_at,ATP6V0C
200958_s_at,SDCBP
200961_at,SEPHS2
200965_s_at,ABLIM1
200966_x_at,ALDOA
200967_at,PPIB
200974_at,ACTA2
200975_at,PPT1
200978_at,MDH1
200983_x_at,CD59
200986_at,SERPING1
200987_x_at,PSME3
200989_at,HIF1A
200996_at,ACTR3
201000_at,AARS
201004_at,SSR4
201005_at,CD9
201007_at,HADHB
201011_at,RPN1
201012_at,ANXA1
201013_s_at,PAICS
201015_s_at,JUP
201016_at,EIF1AX
201020_at,YWHAH
201024_x_at,EIF5B
201028_s_at,CD99
201030_x_at,LDHB
201035_s_at,HADH
201037_at,PFKP
201038_s_at,ANP32A
201040_at,GNAI2
201041_s_at,DUSP1
201042_at,TGM2
201050_at,PLD3
201058_s_at,MYL9
201072_s_at,SMARCC1
201082_s_at,DCTN1
201087_at,PXN
201088_at,KPNA2
201089_at,ATP6V1B2
201092_at,RBBP7
201093_x_at,SDHA
201102_s_at,PFKL
201106_at,GPX4
201107_s_at,THBS1
201114_x_at,PSMA7
201115_at,POLD2
201116_s_at,CPE
201124_at,ITGB5
201126_s_at,MGAT1
201127_s_at,ACLY
201130_s_at,CDH1
201135_at,ECHS1
201137_s_at,HLA-DPB1
201138_s_at,SSB
201142_at,EIF2S1
201147_s_at,TIMP3
201160_s_at,YBX3
201167_x_at,ARHGDIA
201169_s_at,BHLHE40
201173_x_at,NUDC
201174_s_at,TERF2IP
201177_s_at,UBA2
201179_s_at,GNAI3
201182_s_at,CHD4
201186_at,LRPAP1
201187_s_at,ITPR3
201196_s_at,AMD1
201202_at,PCNA
201209_at,HDAC1
201212_at,LGMN
201218_at,CTBP2
201221_s_at,SNRNP70
201231_s_at,ENO1
201234_at,ILK
201235_s_at,BTG2
201247_at,SREBF2
201249_at,SLC2A1
201251_at,PKM
201252_at,PSMC4
201253_s_at,CDIPT
201263_at,TARS
201268_at,NME1-NME2
201268_at,NME2
201272_at,AKR1B1
201274_at,PSMA5
201275_at,FDPS
201286_at,SDC1
201289_at,CYR61
201293_x_at,PPIA
201300_s_at,PRNP
201313_at,ENO2
201316_at,PSMA2
201318_s_at,MYL12A
201318_s_at,MYL12B
201328_at,ETS2
201330_at,RARS
201331_s_at,STAT6
201336_at,VAMP3
201338_x_at,GTF3A
201339_s_at,SCP2
201342_at,SNRPC
201346_at,ADIPOR2
201347_x_at,GRHPR
201348_at,GPX3
201349_at,SLC9A3R1
201350_at,FLOT2
201370_s_at,CUL3
201374_x_at,PPP2CB
201388_at,PSMD3
201389_at,ITGA5
201390_s_at,CSNK2B
201397_at,PHGDH
201400_at,PSMB3
201401_s_at,ADRBK1
201403_s_at,MGST3
201407_s_at,PPP1CB
201415_at,GSS
201420_s_at,WDR77
201425_at,ALDH2
201432_at,CAT
201433_s_at,PTDSS1
201435_s_at,EIF4E
201438_at,COL6A3
